Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012063	13.5	1.525	3.238	0.551793335	0	1624.272	3.238	0.551793335	81	390	3.238	4.317472293	2.771952455	10	1	-999	-999
2012063	14	1.435	3.583	0.57220792	0	1530.336	3.583	0.57220792	81	390	3.583	4.472897693	2.771782073	10	1	-999	-999
2012063	14.5	1.833333	3.868	0.581782031	0	1401.744	3.868	0.581782031	81	390	3.868	4.598766594	2.771549352	10	1	-999	-999
2012063	15	1.445	4.615	0.612854286	0	1261.296	4.615	0.612854286	81	390	4.615	4.943817581	2.771444597	10	1	-999	-999
2012063	15.5	1.661667	4.568	0.611988777	0	1083.456	4.568	0.611988777	81	390	4.568	4.915174351	2.771395154	10	1	-999	-999
2012063	16	1.386667	4.837	0.622290571	0	876.432	4.837	0.622290571	81	390	4.837	5.035061472	2.771509695	10	1	-999	-999
2012063	16.5	1.35	4.787	0.612172173	0	641.136	4.787	0.612172173	81	390	4.787	5.004518286	2.771735988	10	1	-999	-999
2012063	17	1.14	4.622	0.603185504	0	398.544	4.622	0.603185504	81	390	4.622	4.920691172	2.77208816	10	1	-999	-999
2012063	17.5	0.8799999	3.905	0.56456492	0	163.248	3.905	0.56456492	81	390	3.905	4.577725144	2.77233756	10	1	-999	-999
2012063	18	0.715	2.467	0.498422352	0	13.68	2.467	0.498422352	81	390	2.467	3.896263514	2.772415598	10	1	-999	-999
2012063	18.5	0.8016667	1.187	0.436888543	0	-0.912	1.187	0.436888543	81	390	1.187	3.288585953	2.772356052	10	1	-999	-999
2012063	19	0.7033333	0.343	0.39434825	0	0	0.343	0.39434825	81	390	0.343	2.88505528	2.771985091	10	1	-999	-999
2012063	19.5	0.5633333	-0.1	0.369208343	0	-1.824	-0.1	0.369208343	81	390	-0.1	2.670030385	2.771498683	10	1	-999	-999
2012063	20	0.8766667	-0.73	0.343208631	0	-0.912	-0.73	0.343208631	81	390	-0.73	2.367190526	2.770792922	10	1	-999	-999
2012063	20.5	0.5333334	-1.348	0.318078868	0	-1.824	-1.348	0.318078868	81	390	-1.348	2.069963416	2.770098158	10	1	-999	-999
2012063	21	0.7966667	-2.115	0.280688267	0	0	-2.115	0.280688267	81	390	-2.115	1.702438915	2.769308409	10	1	-999	-999
2012063	21.5	0.8199999	-2.707	0.251187435	0	0	-2.707	0.251187435	81	390	-2.707	1.416402066	2.768411185	10	1	-999	-999
2012063	22	0.5516667	-2.588	0.252447628	0	0	-2.588	0.252447628	81	390	-2.588	1.464599866	2.767579639	10	1	-999	-999
2012063	22.5	0.6816667	-3.167	0.235106396	0	0	-3.167	0.235106396	81	390	-3.167	1.183851766	2.76676481	10	1	-999	-999
2012063	23	1.163333	-3.203	0.228288665	0	0	-3.203	0.228288665	81	390	-3.203	1.158013932	2.766104153	10	1	-999	-999
2012063	23.5	1.468333	-2.885	0.236127414	0	0	-2.885	0.236127414	81	390	-2.885	1.29994387	2.765133863	10	1	-999	-999
2012064	0	1.03	-3.542	0.213738573	0	0	-3.542	0.213738573	81	390	-3.542	0.984547269	2.764437446	10	1	-999	-999
2012064	0.5	1.308334	-3.122	0.226736152	0	0	-3.122	0.226736152	81	390	-3.122	1.175915217	2.764003246	10	1	-999	-999
