Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
R500,D1,NA,NA,29.55,39.45,138,PD
R500,D2,3,2,29.6,39.5,133,post
R500,WW,1,2,29.9,39.8,129,post
CC,WW,NA,NA,30.05,39.95,138,MD
CC,WW,1,2,30.1,40,133,post
R500,D2,1,1,30.2,40.1,133,post
R500,WW,2,3,30.2,40.1,133,post
CC,WW,NA,NA,30.2,40.1,138,MD
CC,D2,NA,NA,30.2,40.1,138,MD
R500,WW,2,1,30.3,40.2,129,post
R500,WW,2,1,30.3,40.2,130,pre
R500,D2,NA,NA,30.55,40.45,142,PD
R500,WW,2,2,30.8,40.7,133,post
CC,WW,1,1,30.9,40.8,133,post
R500,WW,NA,NA,31.15,41.05,140,PD
CC,D2,NA,NA,31.25,41.15,138,MD
R500,D2,NA,NA,31.3,41.2,142,MD
R500,WW,NA,NA,31.35,41.25,142,PD
CC,D2,NA,NA,31.45,41.35,138,MD
CC,D2,2,2,31.6,41.5,129,post
CC,WW,2,2,31.6,41.5,129,post
CC,D1,NA,NA,31.6,41.5,135,MD
R500,D2,2,1,31.7,41.6,133,post
R500,D1,NA,NA,31.75,41.65,138,PD
R500,WW,NA,NA,31.8,41.7,138,MD
CC,D1,NA,2,31.8,41.7,138,recovery
CC,D1,NA,NA,31.95,41.85,135,PD
CC,WW,1,3,32.2,42.1,133,post
CC,WW,2,3,32.3,42.2,133,post
CC,D2,1,2,32.4,42.3,137,recovery
CC,WW,NA,1,32.4,42.3,138,post
R500,WW,NA,NA,32.4,42.3,142,PD
CC,D2,NA,NA,32.4,42.3,138,Recovery
CC,D2,NA,1,32.7,42.6,138,recovery
CC,WW,NA,NA,32.7,42.6,138,PD
CC,D1,NA,NA,32.75,42.65,135,PD
CC,D1,NA,NA,32.85,42.75,135,MD
R500,D1,NA,NA,32.9,42.8,138,MD
R500,WW,NA,NA,32.9,42.8,138,MD
CC,D1,NA,NA,32.95,42.85,135,MD
CC,D2,3,3,33,42.9,137,recovery
CC,WW,NA,1,33,42.9,137,pre
CC,D2,NA,NA,33,42.9,138,MD
R500,WW,1,3,33.1,43,133,post
R500,D1,NA,NA,33.15,43.05,138,PD
R500,D2,2,3,33.2,43.1,133,post
CC,D1,NA,1,33.3,43.2,138,recovery
CC,WW,NA,NA,33.55,43.45,138,PD
CC,D2,NA,NA,33.95,43.85,138,MD
CC,D2,2,1,34,43.9,137,recovery
R500,WW,NA,NA,34.05,43.95,138,PD
R500,WW,NA,NA,34.05,43.95,140,PD
CC,D2,NA,NA,34.05,43.95,138,PD
R500,D1,NA,NA,34.15,44.05,138,MD
R500,D2,2,2,34.2,44.1,133,post
CC,D1,NA,NA,34.3,44.2,135,PD
CC,D1,NA,NA,34.3,44.2,135,PD
R500,D1,NA,NA,34.45,44.35,138,MD
